,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,SPY
,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,
Cumulative Return (Annual),1.041899145,1.087125637,1.172987357,1.168001753,1.127540151,1.060278154,1.016487735,0.979020888,0.926441584,0.895813305,0.863927235,0.826647804,1.218216392,1.156809354,1.096042978,1.030271346,0.961970246,0.912468154,0.93101713,0.897508672,0.828374967,0.792340046,0.759276121,0.736038311,1.654486514,1.589810469,1.455011007,1.395814471,1.347146879,1.29223653,1.092260621,1.052971473,0.970997621,0.937444334,0.909903979,0.881664584,1.175778214
Arithmetic Mean Return (Annual),0.240331755,0.276763196,0.358681199,0.366752594,0.349975966,0.311975903,0.067829151,0.028924407,-0.022772952,-0.050890923,-0.079350929,-0.11345802,0.382835022,0.328809953,0.279675417,0.227296637,0.170325762,0.132291984,-0.030831918,-0.067893133,-0.140611134,-0.17724842,-0.209902062,-0.22920407,0.600533295,0.557912328,0.473004564,0.438094936,0.411521891,0.381677407,0.132136415,0.095469873,0.022609822,-0.004861172,-0.02515748,-0.044436484,0.235496107
Geometric Mean Return (Annual),0.041048518,0.083551142,0.159604717,0.155342628,0.120067225,0.058538136,0.016353823,-0.021201401,-0.076392612,-0.109999046,-0.146223953,-0.190304078,0.19746576,0.145708103,0.091723223,0.029823989,-0.038768752,-0.091585314,-0.071467385,-0.108109114,-0.18821848,-0.232656303,-0.275238148,-0.306285334,0.503998044,0.46404495,0.375294876,0.33370061,0.298166599,0.256505962,0.088265091,0.05162147,-0.029429529,-0.064589555,-0.094398376,-0.125911867,0.161982692
Minimum Return (Annual),-35.90343875,-36.72202874,-38.28023416,-39.07246013,-39.86178331,-40.5601187,-19.71755144,-19.71755144,-19.71755144,-20.79654332,-21.86786932,-22.9924666,-42.79240028,-43.06513291,-43.67052776,-43.98820329,-44.31724979,-44.65519198,-19.71755144,-19.71755144,-19.71755144,-19.71755144,-20.81955011,-24.41138557,-26.42487372,-23.45084708,-29.02456391,-32.738264,-36.45298864,-40.23266345,-19.71755144,-19.71755144,-19.71755144,-19.71755144,-20.10676334,-23.88797697,-27.35591157
Max 10-day Drawdown,-0.237699886,-0.229337086,-0.231797355,-0.250072726,-0.271701973,-0.293250135,-0.15819206,-0.15819206,-0.15819206,-0.15819206,-0.15819206,-0.15819206,-0.217979861,-0.211981675,-0.200023973,-0.196652144,-0.21848326,-0.239890215,-0.15819206,-0.15819206,-0.15819206,-0.15819206,-0.15819206,-0.16992052,-0.184292257,-0.167990976,-0.15819206,-0.15819206,-0.15819206,-0.162120625,-0.15819206,-0.15819206,-0.15819206,-0.15819206,-0.15819206,-0.15819206,-0.222449925
Volatility,0.626279825,0.616297481,0.625828776,0.645298121,0.673079961,0.706537882,0.318692168,0.314231684,0.324843158,0.341024397,0.362730625,0.388728139,0.605386121,0.600734999,0.607225249,0.622247218,0.640170485,0.662237815,0.282927689,0.281399371,0.306106608,0.330049727,0.358137868,0.388692238,0.437871151,0.431431668,0.43944341,0.453785379,0.472325305,0.495687644,0.294610545,0.294392002,0.320367494,0.342950573,0.368957496,0.399864209,0.381372218
Sharpe Ratio (Annual),0.287941184,0.351718452,0.477257056,0.475365701,0.430819491,0.356634668,0.0245665,-0.098893888,-0.254808974,-0.325170057,-0.384171944,-0.446219356,0.533271264,0.44746844,0.36176924,0.268858795,0.172338096,0.109163177,-0.321042873,-0.454489761,-0.655363617,-0.718826287,-0.753626148,-0.744043853,1.23445743,1.154093138,0.939835607,0.833202111,0.744236836,0.648951835,0.244853472,0.120485178,-0.116710274,-0.18912688,-0.230805663,-0.261179873,0.46017014
Kurtosis (Annual),2.01029752,1.74328629,1.280176574,1.058690717,0.904508114,0.902851883,3.068498499,3.250273134,3.193784979,2.932668014,2.640904036,2.501948559,2.91785076,2.924639099,3.329457189,3.54679497,3.733340693,3.872910756,4.297413771,4.312463005,3.115889239,2.818461542,2.765851688,2.904645427,2.596612464,2.255985993,2.750262625,3.387788773,4.124583675,4.852229718,3.637658354,3.694879743,2.827748918,2.546100946,2.478968276,2.623836641,5.611928481
Skew (Annual),-0.508998364,-0.581595011,-0.564820723,-0.505594858,-0.462955639,-0.438913216,-0.948969326,-1.074034173,-1.089088197,-1.04105709,-0.966085664,-0.918125174,-0.350670432,-0.470075024,-0.625010039,-0.607779284,-0.580847944,-0.557237177,-1.174937799,-1.208265673,-1.121619746,-1.102685316,-1.092951424,-1.081699973,-0.401684104,-0.497819271,-0.636002287,-0.688483693,-0.741521821,-0.791545408,-0.833157146,-0.899394188,-0.964057757,-0.996262677,-1.013279158,-1.022259763,-0.584714605
mVaR (Annual),-107.7097597,-107.2505628,-108.7273024,-111.4081878,-115.8564144,-121.5141174,-58.07542909,-58.35515716,-60.81509726,-63.79473878,-67.55786577,-72.22462596,-99.48581348,-100.9647397,-104.3734885,-106.7777165,-109.5624869,-113.019331,-52.994512,-53.15975751,-58.35077685,-63.1236004,-68.56001692,-74.20267851,-70.79775764,-71.37575896,-74.4622006,-77.24471219,-80.62440922,-84.83532996,-52.05383804,-52.70334458,-58.94465921,-63.75177418,-68.91704264,-74.77011169,-63.01544777
VaR (Daily),-6.419036128,-6.30061755,-6.367004102,-6.566314513,-6.862038748,-7.22530044,-3.288212689,-3.257372311,-3.38844208,-3.568022176,-3.805215371,-4.089309503,-6.144678285,-6.117902843,-6.205074522,-6.382299087,-6.591542607,-6.836321847,-2.955620389,-2.954545834,-3.240661625,-3.504396035,-3.80965752,-4.135234448,-4.314946143,-4.265004799,-4.382313801,-4.545476692,-4.748976162,-5.00395162,-3.011969434,-3.024362561,-3.323728784,-3.569648221,-3.848315929,-4.17754907,-3.873204442
VaR (Annual),-101.4938727,-99.62151062,-100.6711742,-103.8225485,-108.4983592,-114.2420309,-51.99120764,-51.50357844,-53.57597346,-56.41538409,-60.16573779,-64.65766043,-97.15589434,-96.73253744,-98.1108427,-100.9130091,-104.2214397,-108.0917393,-46.73246164,-46.71547144,-51.23935931,-55.40936647,-60.23597435,-65.38379757,-68.22528897,-67.43564699,-69.29046516,-71.87029698,-75.08790613,-79.1194221,-47.62341828,-47.81937081,-52.55276641,-56.44109412,-60.84721746,-66.05285048,-61.24073941
CVaR (Annual),-156.3241663,-153.1822187,-149.8899093,-149.5382186,-152.9183858,-162.7805688,-87.23646691,-87.6823853,-91.7187801,-96.95900286,-103.1806614,-110.4143208,-140.2724485,-141.9436277,-149.4710847,-154.2889347,-159.9740324,-165.4720902,-79.95230329,-79.39748483,-86.38419099,-94.17688236,-102.6231163,-111.9362912,-111.775812,-111.139119,-112.2383643,-115.1622991,-120.5471121,-127.0559528,-77.19592927,-78.21121139,-88.36146779,-95.62496964,-104.0463894,-113.262958,-98.86315311
